season,team,n_players,degree_centralization,edge_concentration_top5,edge_concentration_top10,modularity_Q,community_size_cv,minutes_gini,minutes_top1_share,minutes_top2_share,minutes_top3_share,minutes_assortativity,total_player_minutes,team_off_ppp,team_def_ppp,team_net_rating
2022-2023,BKN,10,0.09640291899563261,0.30438791106662233,0.5381291802892841,0.3638536341918269,0.19999999996,0.1834741952886171,0.18863513756518613,0.33654019061319906,0.44632260384822875,0.15827584307965337,11122.0,114.66180164573407,108.85331312256389,5.808488523170183
2022-2023,BKN,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3320.0,112.3,109.2,3.0999999999999943
2022-2023,BOS,8,0.2507008189567705,0.4149114513327314,0.7330377037281596,0.004796772397744177,0.499999999875,0.292257024596036,0.1955743055002786,0.39075061689087,0.5745442967444081,-0.0875407647189889,12563.0,119.22928049249713,110.77506733358985,8.45421315890728
2022-2023,BOS,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,4545.0,124.5,112.3,12.200000000000003
2022-2023,CHA,7,0.17799888047369425,0.3572042306215282,0.6177234931169727,0.0,0.0,0.1791463652309491,0.21218735788994997,0.39836289222373805,0.5759890859481582,0.2461470508381453,10995.0,111.52805226623111,117.27570436913024,-5.747652102899124
2022-2023,CHI,9,0.21146173587133874,0.3426787716378301,0.5976519884147912,0.041796197581589034,0.4714045206338969,0.30141184801611004,0.18323043218482374,0.35889265086636124,0.529326827325234,0.20148726176042397,20084.0,115.20260826771656,112.29370078740159,2.9089074803149657
2022-2023,CHI,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,6155.0,111.5,110.2,1.2999999999999972
2022-2023,CLE,7,0.197740731873835,0.41080129924305236,0.687508436919988,2.220446049250313e-16,0.0,0.20065250933418138,0.207271827850606,0.3886552889768324,0.566905763047242,-0.14896473587909675,12129.0,119.68074781225138,112.53667462211614,7.144073190135245
2022-2023,CLE,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,4000.0,122.0,114.2,7.799999999999997
2022-2023,DAL,8,0.1680275470190659,0.32066899845487756,0.5634080682529274,0.0,0.0,0.22086257850018465,0.21352050240118212,0.3727373476172885,0.5303534047531092,-0.12826567894225158,8121.0,121.0401384083045,117.18102652825836,3.859111880046143
2022-2023,DEN,7,0.21199741837840294,0.40428176220128115,0.7447906149477076,2.220446049250313e-16,0.0,0.20460358056265981,0.19736760027446823,0.3874992202607448,0.5656540452872559,-0.017856725497859098,16031.0,124.89368902439024,111.21829268292682,13.675396341463426
2022-2023,DEN,6,0.2,0.49999999995,0.8745794391648786,0.0,0.0,0.14576323987538942,0.2,0.4,0.6000000000000001,-0.21349157491013346,10700.0,124.23392523364485,112.31780373831775,11.916121495327104
2022-2023,DET,9,0.21194017830922246,0.3193309853982566,0.5366629309329956,0.04063695027999967,0.11111111108641974,0.25875063577934987,0.1891385767790262,0.3645443196004994,0.5215355805243446,-0.0078267300365898,9612.0,107.9860576923077,121.57000000000002,-13.583942307692325
2022-2023,GSW,8,0.18155680304260818,0.3210817341111714,0.5562761141221201,0.03580941268058682,0.2499999999375,0.2097832722832722,0.18704212454212454,0.37171855921855923,0.5170940170940171,0.031002294806364163,13104.0,119.88818629307079,108.87731919727376,11.010867095797025
2022-2023,GSW,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3525.0,128.5,106.4,22.099999999999994
2022-2023,HOU,9,0.1705971289116556,0.31654996427517174,0.5682616381834068,0.13578300097162355,0.33333333325925923,0.2909583924894158,0.18965120294693222,0.3558765972142282,0.5115690111661104,0.35156256065089575,17374.0,112.68660992907799,118.96521985815602,-6.27860992907803
2022-2023,HOU,6,0.2,0.4999999999499999,0.8023688662480202,0.0,0.0,0.13372814438804279,0.2,0.4,0.6000000000000001,-0.24996301008677865,8865.0,111.18612521150592,120.57546531302877,-9.389340101522848
2022-2023,IND,8,0.20077389041461385,0.36133657687561593,0.6737657052617466,0.04130090742414997,0.2499999999375,0.22066985848656895,0.1788831454961444,0.3482755698669604,0.5053808999237352,0.16134805246609574,11801.0,117.64148471615721,118.83949980150854,-1.1980150853513294
2022-2023,IND,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,4175.0,119.8,115.9,3.8999999999999915
2022-2023,LAC,7,0.21150507087764753,0.409777594103174,0.719516895717308,5.551115123125783e-16,0.0,0.22698712755423525,0.22520478890989287,0.42822936357908004,0.5950850661625708,0.17715201461823882,7935.0,114.60430889759373,112.19395635142699,2.4103525461667346
2022-2023,LAL,10,0.12668746604574638,0.23807825130241636,0.4356657355302333,0.17207607754325577,0.0,0.16079770032339197,0.14534674811354653,0.29033417175709664,0.4078332734459217,-0.03261740253609085,5566.0,115.36504934210525,112.53955592105264,2.825493421052613
2022-2023,MEM,9,0.16969080895600586,0.28943466540370777,0.5100369343493036,0.07588359739750536,0.11111111108641974,0.24147811481078937,0.18298587096136745,0.3462108487303626,0.49372591641142183,0.22235554582860267,10121.0,115.71073985680191,106.04143198090692,9.669307875894987
2022-2023,MIA,8,0.18171895660900153,0.30985691074555627,0.5483534435092859,0.018168752143062534,0.499999999875,0.22034580585799723,0.2064100598067781,0.3778561570311302,0.5268363747891427,-0.0695286446657225,13042.0,117.53138930163448,109.42596582466568,8.105423476968795
2022-2023,MIA,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3040.0,112.5,107.3,5.200000000000003
2022-2023,MIL,6,0.19349202644968144,0.49769902118728065,0.8188142090061011,0.0,0.0,0.15721179888708323,0.2111094696410105,0.422218939282021,0.6148618702910327,0.02857214396113645,6769.0,120.29902029391182,107.90370888733379,12.395311406578031
2022-2023,MIN,7,0.2078267161643976,0.41109104924405515,0.6937642310243365,-2.220446049250313e-16,0.0,0.21958792726889964,0.21265426413704183,0.4149014551482778,0.6001105175907167,-0.07430958447667205,10858.0,115.25032481593763,107.4674317886531,7.78289302728453
2022-2023,NOP,8,0.21209361029931992,0.3935055230036802,0.6624383427836389,0.02340427082179821,0.2499999999375,0.27067191535449464,0.2066150129134383,0.3917353994834625,0.5704407231525452,0.017643377672674963,12003.0,116.98241419205551,113.68993443887386,3.2924797531816523
2022-2023,NOP,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3680.0,118.1,119.0,-0.9000000000000057
2022-2023,NYK,12,0.15205599528240826,0.25049945460939116,0.43941976374327835,0.2009358925948073,0.0,0.3645614675549876,0.16847677283928084,0.3176508168294241,0.4664141644610751,0.3622391844787782,21914.0,117.00208473436449,115.82425465142344,1.1778300829410426
2022-2023,NYK,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,5305.0,124.70000000000002,117.7,7.000000000000014
2022-2023,OKC,7,0.23247008384057974,0.4809612897330892,0.7831503271024254,0.06458055322789069,0.4285714284489796,0.2623740459367086,0.21309036816660468,0.42618073633320935,0.6158423205652659,0.16022803171927483,8067.0,110.89493891797557,116.81570680628272,-5.920767888307154
2022-2023,OKC,5,0.0,0.49999999995,0.9999999999,0.0,0.0,0.0,0.2,0.4,0.6000000000000001,1.0,3100.0,108.9,112.7,-3.799999999999997
